[80.92577,-3.77083]
[81.34668,-2.03725]
[81.52860,-0.66780]
[82.05950,-0.38916]
[82.25484,-0.64904]
[80.05462,-2.66214]
[79.61782,-3.20196]
[80.51607,-2.68409]
[79.79243,-2.54761]
[79.05937,-3.69749]
[79.57765,-4.13250]
[80.24731,-4.84662]
[80.80133,-2.62869]
[80.53042,-3.42694]
[81.17432,-3.22462]
[81.91761,-0.85974]
[80.78489,-1.17506]
[80.37400,-1.83100]
[80.52517,-2.74391]
[80.92478,-3.18174]
[82.58600,-3.08918]
[82.65986,-1.42300]
[84.34344,-4.41052]
[84.07423,-4.20526]
[86.58726,-4.58530]
[86.80574,-4.74916]
[88.24292,-4.44604]
[88.60663,-4.44577]
[87.17123,-3.46906]
[86.17123,-3.46906]
[86.20735,-2.63750]
[86.42313,-1.85828]
[85.82911,-2.01155]
[83.33154,-0.93401]
[83.06861,-1.40907]
[83.07347,-0.39102]
[82.89246,-1.04678]
[84.29870,-3.27947]
[84.98594,-3.39262]
[84.14844,-3.85419]
[84.02397,-2.10379]
[83.84637,-2.83211]
[83.29878,-3.00580]
[83.33971,-3.08500]
[83.28163,-2.90760]
[82.20961,-4.26029]
[82.30782,-5.23394]
[82.96935,-4.43935]
[82.71065,-4.37595]
[81.76547,-2.19978]
[81.00578,-1.97887]
[80.29990,-2.34482]
[80.32444,-4.88998]
[80.71717,-4.55331]
[79.91011,-0.94708]
[80.46925,-1.52484]
[81.41313,-1.55023]
[83.29205,-4.25666]
[83.99646,-4.38814]
[84.50389,-5.60113]
[85.70231,-3.90481]
[86.77259,-4.88238]
[86.94237,-6.77994]
[86.53262,-4.69267]
[86.25758,-4.38482]
[86.57499,-3.10680]
[87.13635,-5.18640]
[87.97021,-3.30993]
[87.03849,-4.25253]
[85.71270,-3.42294]
[85.58315,-1.18754]
[84.58315,-1.18754]
[82.06698,-1.46633]
[82.47203,-3.90124]
[83.84717,-5.35838]
[83.66625,-5.71234]
[82.67148,-5.70630]
[82.21812,-2.94156]
[82.88550,-1.54819]
[83.57484,-2.75139]
[83.51234,-3.23676]
[82.17301,-3.22783]
[81.20843,-2.57738]
[80.83804,-2.91426]
[80.62653,-5.07170]
[80.75547,-3.84660]
[80.83283,-4.86008]
[81.20678,-5.74447]
[81.53977,-4.67726]
[81.66695,-3.81298]
[80.96813,-2.57164]
[80.45258,-3.46529]
[79.57638,-3.63643]
[79.05830,-3.85542]
[79.30446,-2.14299]
[80.16088,-2.31585]
[80.67944,-2.47530]
[81.50221,-2.34825]
[82.28208,-2.13088]
[83.09819,-3.60699]
[84.23904,-3.56667]
[87.24443,-5.07599]
[88.43554,-5.11779]
[88.58886,-5.72347]
[85.90372,-6.47847]
[85.83223,-2.82866]
[85.33866,-3.86968]
[85.43213,-7.34931]
[86.56202,-4.47016]
[86.29345,-4.59359]
[85.22898,-2.75624]
[83.45698,1.04541]
[81.93553,-1.25716]
[83.17302,-3.95518]
[83.89722,-4.82674]
[82.01537,-2.63327]
[81.89272,-2.75695]
[83.07923,-2.57487]
[83.59199,-2.93091]
[83.27750,-4.53076]
[82.20065,-3.57647]
[81.67611,-2.88587]
[80.68449,-2.88804]
[81.04893,-1.71690]
[81.83996,-4.61017]
[81.49436,-6.39843]
[80.43384,-5.48771]
[80.65928,-4.81071]
[81.35893,-4.39239]
[80.91219,-1.25978]
[82.07279,-1.30470]
[81.94670,-2.99581]
[82.70162,-4.24225]
[80.66962,-4.55255]
[80.97045,-4.13147]
[82.50039,-4.77157]
[83.33203,-4.56740]
[84.56235,-3.83071]
[84.96470,-3.27274]
[86.80494,-4.82656]
[86.67742,-6.38543]
[86.47479,-7.27213]
[86.54763,-6.69034]
[87.39252,-6.13473]
[86.56176,-2.23010]
[84.81459,-1.74784]
[84.28024,-1.77362]
[83.71341,-1.97174]
[83.79251,-5.22779]
[83.49253,-4.37265]
[83.04442,-3.43181]
[83.27318,-2.23219]
[84.51194,-2.74672]
[84.72273,-3.52814]
[84.73539,-4.40512]
[83.55517,-4.82556]
[84.76206,-5.79736]
[85.28302,-3.45421]
[83.27936,-3.03470]
[81.81044,-3.72913]
[81.22663,-2.90208]
[79.80735,-3.00762]
[78.84259,-3.03416]
[79.33832,-4.24740]
[79.57170,-5.59447]
[79.64717,-5.10409]
[79.76504,-2.08129]
[79.76575,-2.63751]
[78.57053,-1.75876]
[78.17826,-1.62576]
[79.61406,-2.87576]
[80.86752,-5.47345]
[82.09964,-6.87729]
[81.98958,-6.26434]
[85.17710,-6.31916]
[86.12321,-4.90860]
[86.07040,-4.36171]
[86.17636,-6.38738]
[87.46768,-8.84159]
[86.67551,-5.43412]
[86.31885,-5.65927]
[85.24309,-5.46466]
[83.84157,-3.57408]
[80.40783,-1.58081]
[79.65304,-1.62425]
[80.22977,-1.11787]
[83.58774,-5.03026]
[83.85618,-0.33627]
[83.56472,-1.40840]
[83.64331,-4.31432]
[85.38556,-4.47773]
[85.40483,-5.96487]
[85.55223,-4.17560]
[83.62195,-1.25713]
[82.00851,-1.69449]
[83.16387,-3.80618]
[82.78368,-5.37734]
[81.99268,-5.52961]
[81.71756,-3.87915]
[81.05409,-2.35274]
[80.60611,-2.14203]
[79.06844,-1.13462]
[77.39141,-1.35969]
[79.27393,-4.12710]
[79.51081,-2.30551]
[79.11283,-4.19165]
[79.41786,-3.21971]
[80.36194,-3.15743]
[81.89152,-2.46246]
[82.90474,-2.46501]
[84.14180,-3.13727]
[84.30413,-4.01385]
[82.30961,-2.62141]
[83.19191,-1.74570]
[85.12897,-3.86373]
[86.41254,-5.31543]
[87.04687,-4.64384]
[85.54586,-3.36376]
[85.41219,-7.39742]
[85.12757,-5.17060]
[86.07624,-3.54844]
[88.44321,-2.69024]
[87.65607,-2.04749]
[86.26362,-2.28662]
[85.77573,-3.94355]
[85.20201,-4.23489]
[85.92768,-5.33941]
[85.03521,-2.36423]
[85.02679,-2.63209]
[84.99734,-0.54151]
[83.39145,-2.05060]
[83.04005,-2.05152]
[82.19362,-5.33895]
[84.33598,-5.68840]
[83.83185,-4.39735]
[81.78226,-1.22210]
[81.48380,-1.05391]
[81.69861,-2.60421]
[82.80591,-5.70952]
[82.90659,-6.07167]
[81.39225,-1.95884]
[81.71345,-2.55528]
[81.85292,-2.90744]
[80.19619,-2.88627]
[79.44130,-2.74927]
[80.79871,-3.88286]
[80.00354,-2.98286]
[80.17336,-2.46939]
[80.27073,-2.52917]
[79.82767,-0.50138]
[80.09094,-2.26719]
[81.61913,-4.63715]
[82.96906,-4.60346]
[83.66607,-3.22633]
[84.98841,-2.02904]
[86.70336,-3.76235]
[88.66698,-5.67460]
[88.28208,-5.53101]
[87.44157,-5.38854]
[84.31661,-2.75923]
[83.22166,-3.23311]
[82.25516,-3.14898]
[83.53073,-2.09426]
[84.09264,-2.32287]
[83.88437,-1.23766]
[84.65752,-2.47068]
[83.79837,-4.76307]
[81.72750,-2.84653]
[81.95727,-2.52824]
[82.19758,-2.41124]
[82.56589,-3.70351]
[82.28947,-3.70719]
[82.21977,-2.61081]
[81.33574,-2.69653]
[82.50592,-0.72384]
[81.77146,-1.39973]
[81.97983,-2.77512]
[81.42533,-3.18449]
[81.49065,-2.33432]
[80.82626,-3.60499]
[80.17919,-3.35019]
[79.58120,-5.36831]
[80.22584,-3.75157]
[79.08017,-0.62625]
[79.17807,-2.05390]
[80.91978,-3.16946]
[80.93404,-1.53183]
[82.07556,-3.56357]
[81.95535,-3.43172]
[81.87111,-2.28513]
[83.81417,-4.25995]
[85.71915,-3.50249]
[86.77970,-2.96931]
[86.90982,-3.63451]
[86.65848,-2.82418]
[85.91438,-4.58039]
[87.03495,-4.78084]
[87.53062,-4.60776]
[86.78611,-7.01393]
[87.85891,-2.80628]
[87.93740,-2.76785]
[86.12737,-0.73113]
[87.49670,-2.68576]
[84.25722,-2.66002]
[84.79953,-1.55096]
[84.92338,-2.85958]
[85.30046,-3.85939]
[84.04890,-3.89845]
[84.48300,-3.18508]
[86.17063,-4.50011]
[86.67304,-6.10561]
[83.45299,-2.30779]
[81.90877,-1.28303]
[81.35738,-1.38125]
[82.95133,-3.51364]
[82.51776,-2.74887]
[82.05809,-1.76181]
[80.61642,-0.86063]
[80.03611,-2.02703]
[80.31885,-1.43203]
[80.81848,-3.57283]
[82.16578,-4.72896]
[82.14311,-4.63035]
[81.30258,-5.06590]
[82.21298,-4.09487]
[83.27979,-3.31063]
[83.91034,-2.47567]
[84.66201,-2.99521]
[85.11990,-2.85138]
[83.55434,-3.10345]
[81.91604,-2.25084]
[82.01111,-2.79445]
[83.24845,-2.43285]
[83.77661,-4.13931]
[84.27631,-4.13121]
[84.69336,-4.33029]
[85.60130,-3.17321]
[86.38551,-3.83428]
[87.48459,-3.59380]
[86.72840,-3.17841]
[87.48187,-4.57209]
[85.82944,-5.15354]
[85.41788,-3.12973]
[85.13103,-2.76520]
[84.30651,1.34203]
[84.92793,-0.87007]
[84.34039,-1.56826]
[84.73511,-4.53740]
[83.78356,-5.21028]
[82.91997,-4.26741]
[83.13564,-3.76586]
[83.62755,-4.54410]
[81.93272,-3.46922]
[79.99172,-0.05123]
[79.10129,-0.86041]
[78.46401,-1.65343]
[78.06342,-1.79843]
[79.17098,-2.99183]
[80.00657,-2.83359]
[80.29722,-4.29427]
[81.29297,-3.39336]
[80.70790,-3.89104]
[80.43883,-1.43537]
[80.48595,-2.54264]
[82.01183,-3.46567]
[82.11489,-1.90522]
[83.03217,-2.46023]
[83.24156,-2.49499]
[84.45893,-3.07462]
[84.72857,-4.33033]
[85.18834,-4.73330]
[85.50553,-4.86484]
[84.21101,-1.97475]
[83.31968,-2.03627]
[85.05982,-4.01892]
[84.92600,-4.32317]
[85.57766,-6.88567]
[85.87369,-3.53059]
